"D","dopoldan",7:00,14:00,7:00,14:00,0
"P","popoldan",14:00,21:00,7:00,14:00,0
"N","ponoèi",21:00,7:00,10:00,14:00,0
"N","ponoèi (prost dan)",19:00,7:00,12:00,14:00,1
"C","celodnevno",7:00,19:00,12:00,14:00,1
