"X","državni praznik",6:40
"L","letni dopust",6:40
"T","letni dopust",6:40
"S","izred. plaè. dopust",6:40
"Š","študijski dopust",6:40
"O","plaèana odsotnost",6:40
"Y","neplaèana odstotnost",0:00
